Name,Tier,Num Types,Type 1,Type 2,Num Abilities,Ability 1,Ability 2,Ability 3,Has Negative Ability,HP,Attack,Defense,Special Attack,Special Defense,Speed,Base Stat Total,Next Evolution(s),Evolutionary Stage,Num Evolutionary Stages,Evolutionary Progress,Is Mega Evolution,Is Alternate Form,Num Moves,Moves,Defensive Boost Moves,Offensive Boost Moves,Max Defensive Boost Amount,Max Offensive Boost Amount,Recovery Moves,Priority STAB Attacks,Entry Hazards,Hazard Clearing Moves,Phazing Moves,Switch Attacks,High Prob Side FX Attacks,Constant Damage Attacks,Trapping Moves
Loudred,No Tier,1,Normal,,2,Scrappy,Soundproof,,0,84,71,43,71,43,48,360,['Exploud'],2,3,0.6666666666666666,0,0,86,"{'Toxic', 'Blizzard', 'Screech', 'Synchronoise', 'Dynamic Punch', 'Body Slam', 'Return', 'Strength', 'Fling', 'Facade', 'Headbutt', 'Confide', 'Captivate', 'Mega Kick', 'Torment', 'Overheat', 'Retaliate', 'Incinerate', 'Bite', 'Hammer Arm', 'Work Up', 'Hidden Power', 'Endeavor', 'Pound', 'Rock Slide', 'Rollout', 'Frustration', 'Mega Punch', 'Brick Break', 'Rain Dance', 'Earthquake', 'Power-Up Punch', 'Natural Gift', 'Flamethrower', 'Smelling Salts', 'Bulldoze', 'Zen Headbutt', 'Take Down', 'Swagger', 'Taunt', 'Smokescreen', 'Fake Tears', 'Rock Smash', 'Fire Blast', 'Echoed Voice', 'Solar Beam', 'Protect', 'Attract', 'Astonish', 'Defense Curl', 'Double-Edge', 'Rock Tomb', 'Whirlwind', 'Rest', 'Mud-Slap', 'Endure', 'Fire Punch', 'Sleep Talk', 'Ice Beam', 'Secret Power', 'Double Team', 'Howl', 'Hyper Voice', 'Substitute', 'Sunny Day', 'Counter', 'Shock Wave', 'Circle Throw', 'Roar', 'Smack Down', 'Stomp', 'Thunder Punch', 'Round', 'Shadow Ball', 'Mimic', 'Disarming Voice', 'Seismic Toss', 'Extrasensory', 'Low Kick', 'Uproar', 'Ice Punch', 'Supersonic', 'Icy Wind', 'Water Pulse', 'Snore', 'Psych Up'}",set(),{'Work Up'},0,2,set(),set(),set(),set(),"{'Whirlwind', 'Circle Throw', 'Roar'}",set(),"{'Body Slam', 'Headbutt', 'Rock Slide'}",{'Seismic Toss'},set()
Lucario,RUBL,2,Fighting,Steel,3,Inner Focus,Justified,Steadfast,0,70,110,70,115,70,90,525,[],2,2,1.0,0,0,103,"{'Toxic', 'Screech', 'Detect', 'Iron Tail', 'Dig', 'Low Sweep', 'Return', 'Helping Hand', 'Dragon Pulse', 'Psychic', 'Strength', 'Laser Focus', 'Giga Impact', 'Sky Uppercut', 'Focus Punch', 'Fury Cutter', 'Facade', 'Fling', 'Headbutt', 'Dual Chop', 'Confide', 'Payback', 'Captivate', 'Force Palm', 'Retaliate', 'Mind Reader', 'Bite', 'Work Up', 'Hidden Power', 'Bone Rush', 'Cross Chop', 'Swords Dance', 'Reversal', 'Rock Slide', 'Frustration', 'Brick Break', 'Shadow Claw', 'Rain Dance', 'Flash Cannon', 'Me First', 'Earthquake', 'Power-Up Punch', 'Natural Gift', 'Bulldoze', 'Zen Headbutt', 'High Jump Kick', 'Swagger', 'Extreme Speed', 'Rock Climb', 'Heal Pulse', 'Rock Smash', 'Metal Claw', 'Metal Sound', 'Stone Edge', 'Protect', 'Attract', 'Drain Punch', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Focus Blast', 'Sleep Talk', 'Bulk Up', 'Double Team', 'Foresight', 'Sunny Day', 'Secret Power', 'Substitute', 'Quick Attack', 'Counter', 'Crunch', 'Vacuum Wave', 'Circle Throw', 'Magnet Rise', 'Roar', 'Close Combat', 'Thunder Punch', 'Agility', 'Round', 'Shadow Ball', 'Final Gambit', 'Poison Jab', 'Copycat', 'Quick Guard', 'Swift', 'Low Kick', 'Feint', 'Follow Me', 'Role Play', 'Calm Mind', 'Meteor Mash', 'Ice Punch', 'Hone Claws', 'Aura Sphere', 'Hyper Beam', 'Iron Defense', 'Dark Pulse', 'Water Pulse', 'Nasty Plot', 'Bullet Punch', 'Blaze Kick', 'Snore'}","{'Bulk Up', 'Iron Defense', 'Calm Mind'}","{'Nasty Plot', 'Hone Claws', 'Bulk Up', 'Work Up', 'Calm Mind', 'Agility', 'Swords Dance'}",2,2,set(),"{'Bullet Punch', 'Vacuum Wave'}",set(),set(),"{'Circle Throw', 'Roar'}",set(),"{'Headbutt', 'Rock Slide', 'Poison Jab', 'Iron Tail'}",set(),set()
Lucario-Mega,Uber,2,Fighting,Steel,1,Adaptability,,,0,70,145,88,140,70,112,625,[],2,2,1.0,1,0,103,"{'Toxic', 'Screech', 'Detect', 'Iron Tail', 'Dig', 'Low Sweep', 'Return', 'Helping Hand', 'Dragon Pulse', 'Psychic', 'Strength', 'Laser Focus', 'Giga Impact', 'Sky Uppercut', 'Focus Punch', 'Fury Cutter', 'Facade', 'Fling', 'Headbutt', 'Dual Chop', 'Confide', 'Payback', 'Captivate', 'Force Palm', 'Retaliate', 'Mind Reader', 'Bite', 'Work Up', 'Hidden Power', 'Bone Rush', 'Cross Chop', 'Swords Dance', 'Reversal', 'Rock Slide', 'Frustration', 'Brick Break', 'Shadow Claw', 'Rain Dance', 'Flash Cannon', 'Me First', 'Earthquake', 'Power-Up Punch', 'Natural Gift', 'Bulldoze', 'Zen Headbutt', 'High Jump Kick', 'Swagger', 'Extreme Speed', 'Rock Climb', 'Heal Pulse', 'Rock Smash', 'Metal Claw', 'Metal Sound', 'Stone Edge', 'Protect', 'Attract', 'Drain Punch', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Focus Blast', 'Sleep Talk', 'Bulk Up', 'Double Team', 'Foresight', 'Sunny Day', 'Secret Power', 'Substitute', 'Quick Attack', 'Counter', 'Crunch', 'Vacuum Wave', 'Circle Throw', 'Magnet Rise', 'Roar', 'Close Combat', 'Thunder Punch', 'Agility', 'Round', 'Shadow Ball', 'Final Gambit', 'Poison Jab', 'Copycat', 'Quick Guard', 'Swift', 'Low Kick', 'Feint', 'Follow Me', 'Role Play', 'Calm Mind', 'Meteor Mash', 'Ice Punch', 'Hone Claws', 'Aura Sphere', 'Hyper Beam', 'Iron Defense', 'Dark Pulse', 'Water Pulse', 'Nasty Plot', 'Bullet Punch', 'Blaze Kick', 'Snore'}","{'Bulk Up', 'Iron Defense', 'Calm Mind'}","{'Nasty Plot', 'Hone Claws', 'Bulk Up', 'Work Up', 'Calm Mind', 'Agility', 'Swords Dance'}",2,2,set(),"{'Bullet Punch', 'Vacuum Wave'}",set(),set(),"{'Circle Throw', 'Roar'}",set(),"{'Headbutt', 'Rock Slide', 'Poison Jab', 'Iron Tail'}",set(),set()
Ludicolo,PU,2,Grass,Water,3,Own Tempo,Rain Dish,Swift Swim,0,80,70,70,90,100,70,480,[],3,3,1.0,0,0,91,"{'Toxic', 'Blizzard', 'Fury Swipes', 'Dynamic Punch', 'Body Slam', 'Return', 'Seed Bomb', 'Strength', 'Whirlpool', 'Scald', 'Giga Drain', 'Synthesis', 'Giga Impact', 'Waterfall', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Teeter Dance', 'Metronome', 'Confide', 'Captivate', 'Mega Kick', 'Surf', 'Water Gun', 'Hidden Power', 'Swords Dance', 'Razor Leaf', 'Frustration', 'Mega Drain', 'Mega Punch', 'Brick Break', 'Sweet Scent', 'Absorb', 'Rain Dance', 'Power-Up Punch', 'Natural Gift', 'Zen Headbutt', 'Dive', 'Tickle', 'Energy Ball', 'Swagger', 'Bullet Seed', 'Hydro Pump', 'Rock Climb', 'Rock Smash', 'Bubble Beam', 'Flash', 'Echoed Voice', 'Solar Beam', 'Protect', 'Attract', 'Grass Knot', 'Astonish', 'Drain Punch', 'Double-Edge', 'Thief', 'Knock Off', 'Mud-Slap', 'Rest', 'Leech Seed', 'Endure', 'Fire Punch', 'Focus Blast', 'Sleep Talk', 'Ice Beam', 'Double Team', 'Secret Power', 'Hyper Voice', 'Substitute', 'Sunny Day', 'Counter', 'Nature Power', 'Growl', 'Thunder Punch', 'Round', 'Mimic', 'Hail', 'Seismic Toss', 'Flail', 'Uproar', 'Bubble', 'Ice Punch', 'Mist', 'Hone Claws', 'Icy Wind', 'Fake Out', 'Hyper Beam', 'Water Pulse', 'Water Sport', 'Snore'}",set(),"{'Swords Dance', 'Hone Claws'}",0,2,{'Synthesis'},set(),set(),set(),set(),set(),"{'Body Slam', 'Headbutt'}",{'Seismic Toss'},set()
Lugia,Uber,2,Flying,Psychic,2,Multiscale,Pressure,,0,106,90,130,90,154,110,680,[],1,1,1.0,0,0,101,"{'Toxic', 'Sky Attack', 'Blizzard', 'Trick', 'Iron Tail', 'Detect', 'Ominous Wind', 'Body Slam', 'Return', 'Dragon Pulse', 'Psychic', 'Strength', 'Whirlpool', 'Giga Drain', 'Giga Impact', 'Waterfall', 'Facade', 'Headbutt', 'Aerial Ace', 'Confide', 'Surf', 'Psych Up', 'Air Cutter', 'Aeroblast', 'Hidden Power', 'Light Screen', 'Weather Ball', 'Thunder Wave', 'Frustration', 'Steel Wing', 'Fly', 'Charge Beam', 'Twister', 'Rain Dance', 'Earthquake', 'Natural Gift', 'Recover', 'Bulldoze', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Gust', 'Dive', 'Safeguard', 'Avalanche', 'Swagger', 'Skill Swap', 'Defog', 'Hydro Pump', 'Iron Head', 'Rock Smash', 'Flash', 'Sandstorm', 'Echoed Voice', 'Protect', 'Double-Edge', 'Curse', 'Zap Cannon', 'Whirlwind', 'Mud-Slap', 'Rest', 'Endure', 'Ice Beam', 'Sleep Talk', 'Double Team', 'Wonder Room', 'Hyper Voice', 'Substitute', 'Sunny Day', 'Secret Power', 'Shock Wave', 'Punishment', 'Thunder', 'Roar', 'Future Sight', 'Round', 'Shadow Ball', 'Mimic', 'Hail', 'Extrasensory', 'Aqua Tail', 'Roost', 'Swift', 'Tailwind', 'Reflect', 'Dragon Rush', 'Earth Power', 'Psyshock', 'Signal Beam', 'Dragon Breath', 'Calm Mind', 'Ancient Power', 'Brine', 'Nightmare', 'Icy Wind', 'Hyper Beam', 'Sky Drop', 'Water Pulse', 'Dragon Tail', 'Snore', 'Telekinesis'}",{'Calm Mind'},{'Calm Mind'},1,1,"{'Recover', 'Roost'}",set(),set(),{'Defog'},"{'Whirlwind', 'Dragon Tail', 'Roar'}",set(),"{'Body Slam', 'Iron Head', 'Headbutt', 'Iron Tail'}",set(),set()
Lumineon,PU,1,Water,,3,Storm Drain,Swift Swim,Water Veil,0,69,69,76,69,86,91,460,[],2,2,1.0,0,0,63,"{'Toxic', 'Pound', 'Blizzard', 'Hail', 'Ominous Wind', 'Flash', 'Psybeam', 'Silver Wind', 'Sweet Kiss', 'Frustration', 'Return', 'Aqua Tail', 'Aqua Ring', 'Confuse Ray', 'Flail', 'Splash', 'Swift', 'Attract', 'Protect', 'Tailwind', 'Twister', 'Whirlpool', 'Rain Dance', 'Signal Beam', 'Scald', 'Rest', 'Natural Gift', 'Endure', 'Giga Impact', 'Soak', 'Waterfall', 'Brine', 'Facade', 'Sleep Talk', 'Ice Beam', 'Confide', 'Icy Wind', 'Bounce', 'Gust', 'Dive', 'Captivate', 'Hyper Beam', 'Aurora Beam', 'Double Team', 'Secret Power', 'Payback', 'Safeguard', 'Water Pulse', 'Tickle', 'Substitute', 'Surf', 'Charm', 'Air Cutter', 'Swagger', 'Defog', 'Nature Power', 'Water Gun', 'Hidden Power', 'U-turn', 'Snore', 'Psych Up', 'Agility', 'Round'}",set(),{'Agility'},0,2,set(),set(),set(),{'Defog'},set(),{'U-turn'},set(),set(),set()
Lunala,Uber,2,Psychic,Ghost,1,Shadow Shield,,,0,137,113,89,137,107,97,680,[],3,3,1.0,0,0,59,"{'Toxic', 'Light Screen', 'Night Daze', 'Moongeist Beam', 'Hypnosis', 'Shadow Ball', 'Blizzard', 'Magic Coat', 'Thunder Wave', 'Frustration', 'Return', 'Shadow Claw', 'Confuse Ray', 'Fly', 'Solar Beam', 'Splash', 'Roost', 'Charge Beam', 'Protect', 'Reflect', 'Psychic', 'Psyshock', 'Moonblast', 'Calm Mind', 'Rest', 'Giga Impact', 'Facade', 'Focus Blast', 'Ice Beam', 'Aerial Ace', 'Teleport', 'Thunderbolt', 'Sleep Talk', 'Dream Eater', 'Double Team', 'Phantom Force', 'Hyper Beam', 'Sunny Day', 'Substitute', 'Confide', 'Trick Room', 'Safeguard', 'Sky Drop', 'Dazzling Gleam', 'Swagger', 'Wide Guard', 'Night Shade', 'Will-O-Wisp', 'Thunder', 'Roar', 'Cosmic Power', 'Confusion', 'Moonlight', 'Air Slash', 'Work Up', 'Hidden Power', 'Acrobatics', 'Psych Up', 'Round'}","{'Cosmic Power', 'Calm Mind'}","{'Calm Mind', 'Work Up'}",2,2,"{'Moonlight', 'Roost'}",set(),set(),set(),{'Roar'},set(),{'Air Slash'},{'Night Shade'},set()
Lunatone,PU,2,Psychic,Rock,1,Levitate,,,0,90,55,65,95,85,70,460,[],1,1,1.0,0,0,80,"{'Toxic', 'Blizzard', 'Body Slam', 'Return', 'Helping Hand', 'Psywave', 'Psychic', 'Moonblast', 'Giga Impact', 'Facade', 'Confide', 'Psych Up', 'Confusion', 'Hidden Power', 'Pain Split', 'Light Screen', 'Hypnosis', 'Rock Slide', 'Rollout', 'Recycle', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Charge Beam', 'Rain Dance', 'Earthquake', 'Natural Gift', 'Bulldoze', 'Zen Headbutt', 'Dream Eater', 'Power Gem', 'Trick Room', 'Safeguard', 'Swagger', 'Skill Swap', 'Iron Head', 'Magic Coat', 'Stone Edge', 'Flash', 'Sandstorm', 'Protect', 'Grass Knot', 'Defense Curl', 'Double-Edge', 'Magic Room', 'Rock Tomb', 'Rest', 'Endure', 'Harden', 'Sleep Talk', 'Ice Beam', 'Double Team', 'Secret Power', 'Substitute', 'Explosion', 'Tackle', 'Gyro Ball', 'Smack Down', 'Future Sight', 'Acrobatics', 'Round', 'Embargo', 'Shadow Ball', 'Self-Destruct', 'Mimic', 'Swift', 'Reflect', 'Gravity', 'Earth Power', 'Psyshock', 'Signal Beam', 'Calm Mind', 'Ancient Power', 'Icy Wind', 'Hyper Beam', 'Rock Throw', 'Cosmic Power', 'Heal Block', 'Snore', 'Telekinesis'}","{'Cosmic Power', 'Calm Mind'}","{'Rock Polish', 'Calm Mind'}",2,2,set(),set(),{'Stealth Rock'},set(),set(),set(),"{'Body Slam', 'Rock Slide', 'Iron Head'}",set(),set()
Lurantis,PU,1,Grass,,2,Contrary,Leaf Guard,,0,70,105,90,80,90,45,480,[],2,2,1.0,0,0,49,"{'Toxic', 'Razor Leaf', 'Weather Ball', 'Low Sweep', 'Poison Jab', 'Frustration', 'Return', 'Brick Break', 'Solar Beam', 'Growth', 'Sweet Scent', 'Protect', 'Attract', 'Grass Knot', 'Rest', 'Giga Drain', 'Synthesis', 'Giga Impact', 'Fury Cutter', 'Leech Life', 'Fling', 'Facade', 'Ingrain', 'Aerial Ace', 'False Swipe', 'Sleep Talk', 'Slash', 'Confide', 'Leafage', 'Double Team', 'Sunny Day', 'Night Slash', 'Hyper Beam', 'Payback', 'Substitute', 'Petal Blizzard', 'Safeguard', 'Energy Ball', 'Swagger', 'Aromatherapy', 'Defog', 'Nature Power', 'Round', 'Leaf Blade', 'X-Scissor', 'Hidden Power', 'Solar Blade', 'Swords Dance', 'Leaf Storm'}",set(),{'Swords Dance'},0,2,{'Synthesis'},set(),set(),{'Defog'},set(),set(),{'Poison Jab'},set(),set()
Luvdisc,PU,1,Water,,2,Hydration,Swift Swim,,0,43,30,55,40,65,97,330,[],1,1,1.0,0,0,57,"{'Toxic', 'Blizzard', 'Mimic', 'Aqua Jet', 'Hail', 'Sweet Kiss', 'Frustration', 'Return', 'Aqua Ring', 'Flail', 'Splash', 'Swift', 'Attract', 'Protect', 'Snore', 'Double-Edge', 'Whirlpool', 'Rain Dance', 'Scald', 'Mud Sport', 'Rest', 'Natural Gift', 'Endure', 'Draining Kiss', 'Soak', 'Waterfall', 'Brine', 'Supersonic', 'Sleep Talk', 'Ice Beam', 'Facade', 'Confide', 'Icy Wind', 'Bounce', 'Take Down', 'Dive', 'Captivate', 'Substitute', 'Double Team', 'Heart Stamp', 'Entrainment', 'Secret Power', 'Safeguard', 'Water Pulse', 'Tackle', 'Surf', 'Charm', 'Swagger', 'Lucky Chant', 'Water Gun', 'Water Sport', 'Hydro Pump', 'Hidden Power', 'Heal Pulse', 'Psych Up', 'Agility', 'Round'}",set(),{'Agility'},0,2,set(),{'Aqua Jet'},set(),set(),set(),set(),set(),set(),set()
Luxio,No Tier,1,Electric,,3,Guts,Intimidate,Rivalry,0,60,85,49,60,49,60,363,['Luxray'],2,3,0.6666666666666666,0,0,60,"{'Toxic', 'Light Screen', 'Wild Charge', 'Iron Tail', 'Discharge', 'Flash', 'Thunder Wave', 'Frustration', 'Return', 'Charge', 'Thunder Fang', 'Swift', 'Helping Hand', 'Protect', 'Attract', 'Charge Beam', 'Strength', 'Thief', 'Leer', 'Baby-Doll Eyes', 'Spark', 'Fire Fang', 'Signal Beam', 'Rain Dance', 'Mud-Slap', 'Rest', 'Endure', 'Natural Gift', 'Scary Face', 'Fury Cutter', 'Facade', 'Headbutt', 'Sleep Talk', 'Thunderbolt', 'Confide', 'Double Team', 'Secret Power', 'Howl', 'Night Slash', 'Take Down', 'Captivate', 'Quick Attack', 'Shock Wave', 'Volt Switch', 'Substitute', 'Tackle', 'Crunch', 'Swagger', 'Magnet Rise', 'Thunder', 'Snarl', 'Roar', 'Eerie Impulse', 'Bite', 'Hidden Power', 'Fake Tears', 'Snore', 'Ice Fang', 'Double Kick', 'Round'}",set(),set(),0,0,set(),set(),set(),set(),{'Roar'},{'Volt Switch'},"{'Discharge', 'Headbutt', 'Iron Tail'}",set(),set()
Luxray,PU,1,Electric,,3,Guts,Intimidate,Rivalry,0,80,120,79,95,79,70,523,[],3,3,1.0,0,0,64,"{'Toxic', 'Light Screen', 'Wild Charge', 'Iron Tail', 'Discharge', 'Flash', 'Thunder Wave', 'Frustration', 'Return', 'Charge', 'Thunder Fang', 'Swift', 'Helping Hand', 'Protect', 'Attract', 'Charge Beam', 'Strength', 'Thief', 'Leer', 'Baby-Doll Eyes', 'Spark', 'Fire Fang', 'Signal Beam', 'Rain Dance', 'Mud-Slap', 'Rest', 'Endure', 'Natural Gift', 'Scary Face', 'Giga Impact', 'Fury Cutter', 'Facade', 'Headbutt', 'Sleep Talk', 'Thunderbolt', 'Confide', 'Double Team', 'Secret Power', 'Howl', 'Night Slash', 'Take Down', 'Hyper Beam', 'Quick Attack', 'Shock Wave', 'Volt Switch', 'Captivate', 'Substitute', 'Tackle', 'Crunch', 'Swagger', 'Magnet Rise', 'Thunder', 'Snarl', 'Electric Terrain', 'Roar', 'Eerie Impulse', 'Bite', 'Superpower', 'Hidden Power', 'Fake Tears', 'Snore', 'Ice Fang', 'Double Kick', 'Round'}",set(),set(),0,0,set(),set(),set(),set(),{'Roar'},{'Volt Switch'},"{'Discharge', 'Headbutt', 'Iron Tail'}",set(),set()
Lycanroc,PU,1,Rock,,3,Keen Eye,Sand Rush,Steadfast,0,75,115,65,55,65,112,487,[],2,2,1.0,0,0,44,"{'Toxic', 'Rock Slide', 'Sucker Punch', 'Stone Edge', 'Accelerock', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Return', 'Echoed Voice', 'Brick Break', 'Quick Guard', 'Thunder Fang', 'Protect', 'Attract', 'Sand Attack', 'Leer', 'Rock Tomb', 'Crush Claw', 'Fire Fang', 'Rest', 'Scary Face', 'Facade', 'Sleep Talk', 'Thrash', 'Bulk Up', 'Confide', 'Double Team', 'Howl', 'Substitute', 'Quick Attack', 'Tackle', 'Crunch', 'Swagger', 'Odor Sleuth', 'Rock Throw', 'Snarl', 'Roar', 'Taunt', 'Bite', 'Hidden Power', 'Rock Climb', 'Swords Dance', 'Round'}",{'Bulk Up'},"{'Bulk Up', 'Swords Dance', 'Rock Polish'}",1,2,set(),{'Accelerock'},{'Stealth Rock'},set(),{'Roar'},set(),{'Rock Slide'},set(),set()
Lycanroc-Dusk,RU,1,Rock,,1,Tough Claws,,,0,75,117,65,55,65,110,487,[],2,2,1.0,0,1,43,"{'Toxic', 'Rock Slide', 'Sucker Punch', 'Stone Edge', 'Accelerock', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Return', 'Echoed Voice', 'Brick Break', 'Thunder Fang', 'Protect', 'Attract', 'Sand Attack', 'Leer', 'Rock Tomb', 'Crush Claw', 'Fire Fang', 'Rest', 'Scary Face', 'Facade', 'Sleep Talk', 'Thrash', 'Bulk Up', 'Confide', 'Double Team', 'Howl', 'Substitute', 'Counter', 'Tackle', 'Crunch', 'Swagger', 'Odor Sleuth', 'Rock Throw', 'Snarl', 'Roar', 'Taunt', 'Bite', 'Hidden Power', 'Rock Climb', 'Swords Dance', 'Round'}",{'Bulk Up'},"{'Bulk Up', 'Swords Dance', 'Rock Polish'}",1,2,set(),{'Accelerock'},{'Stealth Rock'},set(),{'Roar'},set(),{'Rock Slide'},set(),set()
Lycanroc-Midnight,PU,1,Rock,,3,Keen Eye,No Guard,Vital Spirit,0,85,115,75,55,75,82,487,[],2,2,1.0,0,1,43,"{'Toxic', 'Reversal', 'Rock Slide', 'Sucker Punch', 'Stone Edge', 'Stealth Rock', 'Rock Polish', 'Frustration', 'Return', 'Echoed Voice', 'Brick Break', 'Thunder Fang', 'Protect', 'Attract', 'Sand Attack', 'Leer', 'Rock Tomb', 'Crush Claw', 'Fire Fang', 'Rest', 'Scary Face', 'Facade', 'Sleep Talk', 'Thrash', 'Bulk Up', 'Confide', 'Double Team', 'Howl', 'Substitute', 'Counter', 'Tackle', 'Crunch', 'Swagger', 'Odor Sleuth', 'Rock Throw', 'Snarl', 'Roar', 'Taunt', 'Bite', 'Hidden Power', 'Rock Climb', 'Swords Dance', 'Round'}",{'Bulk Up'},"{'Bulk Up', 'Swords Dance', 'Rock Polish'}",1,2,set(),set(),{'Stealth Rock'},set(),{'Roar'},set(),{'Rock Slide'},set(),set()
Machamp,RU,1,Fighting,,3,Guts,No Guard,Steadfast,0,90,130,80,65,85,55,505,[],3,3,1.0,0,0,98,"{'Toxic', 'Power Trick', 'Detect', 'Dig', 'Heavy Slam', 'Dynamic Punch', 'Low Sweep', 'Body Slam', 'Return', 'Helping Hand', 'Strength', 'Giga Impact', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Dual Chop', 'Metronome', 'Confide', 'Payback', 'Captivate', 'Mega Kick', 'Retaliate', 'Incinerate', 'Superpower', 'Work Up', 'Hidden Power', 'Fissure', 'Cross Chop', 'Light Screen', 'Bide', 'Rock Slide', 'Rolling Kick', 'Frustration', 'Mega Punch', 'Brick Break', 'Wake-Up Slap', 'Vital Throw', 'Rain Dance', 'Earthquake', 'Power-Up Punch', 'Natural Gift', 'Flamethrower', 'Smelling Salts', 'Bulldoze', 'Take Down', 'Tickle', 'Swagger', 'Revenge', 'Rock Climb', 'Rock Smash', 'Karate Chop', 'Fire Blast', 'Stone Edge', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Scary Face', 'Fire Punch', 'Submission', 'Focus Blast', 'Sleep Talk', 'Bulk Up', 'Double Team', 'Foresight', 'Substitute', 'Sunny Day', 'Secret Power', 'Counter', 'Meditate', 'Rage', 'Vacuum Wave', 'Wide Guard', 'Close Combat', 'Smack Down', 'Thunder Punch', 'Round', 'Mimic', 'Seismic Toss', 'Focus Energy', 'Poison Jab', 'Quick Guard', 'Low Kick', 'Role Play', 'Encore', 'Ice Punch', 'Hyper Beam', 'Skull Bash', 'Bullet Punch', 'Snore'}",{'Bulk Up'},"{'Bulk Up', 'Work Up'}",1,2,set(),{'Vacuum Wave'},set(),set(),set(),set(),"{'Headbutt', 'Rock Slide', 'Rolling Kick', 'Body Slam', 'Poison Jab'}",{'Seismic Toss'},set()
Machoke,No Tier,1,Fighting,,3,Guts,No Guard,Steadfast,0,80,100,70,50,60,45,405,['Machamp'],2,3,0.6666666666666666,0,0,94,"{'Toxic', 'Power Trick', 'Detect', 'Dig', 'Heavy Slam', 'Dynamic Punch', 'Low Sweep', 'Body Slam', 'Return', 'Helping Hand', 'Strength', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Dual Chop', 'Metronome', 'Confide', 'Payback', 'Captivate', 'Mega Kick', 'Retaliate', 'Incinerate', 'Superpower', 'Work Up', 'Hidden Power', 'Fissure', 'Cross Chop', 'Light Screen', 'Bide', 'Rock Slide', 'Rolling Kick', 'Frustration', 'Mega Punch', 'Brick Break', 'Wake-Up Slap', 'Vital Throw', 'Rain Dance', 'Earthquake', 'Power-Up Punch', 'Natural Gift', 'Flamethrower', 'Smelling Salts', 'Bulldoze', 'Take Down', 'Tickle', 'Swagger', 'Revenge', 'Rock Climb', 'Rock Smash', 'Karate Chop', 'Fire Blast', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Scary Face', 'Fire Punch', 'Submission', 'Focus Blast', 'Sleep Talk', 'Bulk Up', 'Double Team', 'Foresight', 'Substitute', 'Sunny Day', 'Secret Power', 'Counter', 'Meditate', 'Rage', 'Vacuum Wave', 'Close Combat', 'Smack Down', 'Thunder Punch', 'Round', 'Mimic', 'Seismic Toss', 'Focus Energy', 'Poison Jab', 'Quick Guard', 'Low Kick', 'Role Play', 'Encore', 'Ice Punch', 'Skull Bash', 'Bullet Punch', 'Snore'}",{'Bulk Up'},"{'Bulk Up', 'Work Up'}",1,2,set(),{'Vacuum Wave'},set(),set(),set(),set(),"{'Headbutt', 'Rock Slide', 'Rolling Kick', 'Body Slam', 'Poison Jab'}",{'Seismic Toss'},set()
