Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s);Moves
Horsea;['Water'];['Damp', 'Sniper', 'Swift Swim'];LC;30;40;70;70;25;60;['Seadra'];['Water Gun', 'Bubble', 'Smokescreen', 'Leer', 'Bubble', 'Water Gun', 'Twister', 'Focus Energy', 'Bubble Beam', 'Focus Energy', 'Agility', 'Twister', 'Brine', 'Agility', 'Hydro Pump', 'Dragon Dance', 'Dragon Pulse', 'Dragon Dance', 'Hydro Pump', 'Aurora Beam', 'Clear Smog', 'Disable', 'Dragon Breath', 'Dragon Rage', 'Flail', 'Muddy Water', 'Octazooka', 'Outrage', 'Razor Wind', 'Signal Beam', 'Splash', 'Water Pulse', 'Bounce', 'Dive', "Double'Edge", 'Dragon Pulse', 'Endure', 'Headbutt', 'Ice Beam', 'Icy Wind', 'Mimic', 'Outrage', 'Signal Beam', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Twister', 'Water Pulse', 'Water Pulse', 'Headbutt', 'Curse', 'Toxic', 'Take Down', "Double'Edge", 'Bubble Beam', 'Water Gun', 'Hail', 'Hidden Power', 'Snore', 'Ice Beam', 'Blizzard', 'Rage', 'Mimic', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Frustration', 'Dragon Breath', 'Return', 'Double Team', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Bide', 'Swift', 'Skull Bash', 'Rest', 'Attract', 'Brine', 'Endure', 'Dragon Pulse', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Round', 'Scald', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Surf', 'Whirlpool', 'Waterfall', 'Secret Power', 'Confide', 'Surf', 'Waterfall', 'Dive']
Houndoom;['Dark', 'Fire'];['Early Bird', 'Flash Fire', 'Unnerve'];NU;75;90;50;110;80;95;[];['Inferno', 'Nasty Plot', 'Thunder Fang', 'Leer', 'Ember', 'Howl', 'Smog', 'Howl', 'Smog', 'Roar', 'Bite', 'Odor Sleuth', 'Beat Up', 'Fire Fang', 'Smog', 'Bite', 'Feint Attack', 'Embargo', 'Foul Play', 'Flamethrower', 'Crunch', 'Nasty Plot', 'Inferno', 'Beat Up', 'Counter', 'Destiny Bond', 'Feint', 'Fire Fang', 'Fire Spin', 'Nasty Plot', 'Punishment', 'Pursuit', 'Rage', 'Reversal', 'Spite', 'Sucker Punch', 'Thunder Fang', "Will'O'Wisp", 'Body Slam', 'Counter', 'Dark Pulse', "Double'Edge", 'Dream Eater', 'Endure', 'Flamethrower', 'Foul Play', 'Headbutt', 'Heat Wave', 'Hyper Voice', 'Iron Tail', 'Mimic', "Mud'Slap", 'Nightmare', 'Role Play', 'Sleep Talk', 'Snatch', 'Snore', 'Spite', 'Substitute', 'Sucker Punch', 'Super Fang', 'Swagger', 'Swift', 'Uproar', 'Headbutt', 'Curse', 'Roar', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Hyper Beam', 'Protect', 'Endure', 'Frustration', 'Solar Beam', 'Iron Tail', 'Return', 'Shadow Ball', "Mud'Slap", 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sludge Bomb', 'Fire Blast', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Swift', 'Dream Eater', 'Detect', 'Rest', 'Attract', 'Thief', 'Nightmare', 'Snatch', 'Round', 'Overheat', 'Incinerate', 'Endure', "Will'O'Wisp", 'Embargo', 'Payback', 'Retaliate', 'Giga Impact', 'Captivate', 'Dark Pulse', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Snarl', 'Dark Pulse', 'Confide', 'Strength', 'Rock Smash']
Houndoom-Mega;['Dark', 'Fire'];['Solar Power'];RUBL;75;90;90;140;90;115;[];['Inferno', 'Nasty Plot', 'Thunder Fang', 'Leer', 'Ember', 'Howl', 'Smog', 'Howl', 'Smog', 'Roar', 'Bite', 'Odor Sleuth', 'Beat Up', 'Fire Fang', 'Smog', 'Bite', 'Feint Attack', 'Embargo', 'Foul Play', 'Flamethrower', 'Crunch', 'Nasty Plot', 'Inferno', 'Beat Up', 'Counter', 'Destiny Bond', 'Feint', 'Fire Fang', 'Fire Spin', 'Nasty Plot', 'Punishment', 'Pursuit', 'Rage', 'Reversal', 'Spite', 'Sucker Punch', 'Thunder Fang', "Will'O'Wisp", 'Body Slam', 'Counter', 'Dark Pulse', "Double'Edge", 'Dream Eater', 'Endure', 'Flamethrower', 'Foul Play', 'Headbutt', 'Heat Wave', 'Hyper Voice', 'Iron Tail', 'Mimic', "Mud'Slap", 'Nightmare', 'Role Play', 'Sleep Talk', 'Snatch', 'Snore', 'Spite', 'Substitute', 'Sucker Punch', 'Super Fang', 'Swagger', 'Swift', 'Uproar', 'Headbutt', 'Curse', 'Roar', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Hyper Beam', 'Protect', 'Endure', 'Frustration', 'Solar Beam', 'Iron Tail', 'Return', 'Shadow Ball', "Mud'Slap", 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sludge Bomb', 'Fire Blast', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Swift', 'Dream Eater', 'Detect', 'Rest', 'Attract', 'Thief', 'Nightmare', 'Snatch', 'Round', 'Overheat', 'Incinerate', 'Endure', "Will'O'Wisp", 'Embargo', 'Payback', 'Retaliate', 'Giga Impact', 'Captivate', 'Dark Pulse', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Snarl', 'Dark Pulse', 'Confide', 'Strength', 'Rock Smash']
Houndour;['Dark', 'Fire'];['Early Bird', 'Flash Fire', 'Unnerve'];LC;45;60;30;80;50;65;['Houndoom'];['Leer', 'Ember', 'Howl', 'Smog', 'Roar', 'Bite', 'Odor Sleuth', 'Beat Up', 'Fire Fang', 'Smog', 'Bite', 'Feint Attack', 'Embargo', 'Foul Play', 'Flamethrower', 'Crunch', 'Nasty Plot', 'Inferno', 'Beat Up', 'Counter', 'Destiny Bond', 'Feint', 'Fire Fang', 'Fire Spin', 'Nasty Plot', 'Punishment', 'Pursuit', 'Rage', 'Reversal', 'Spite', 'Sucker Punch', 'Thunder Fang', "Will'O'Wisp", 'Body Slam', 'Counter', 'Dark Pulse', "Double'Edge", 'Dream Eater', 'Endure', 'Flamethrower', 'Foul Play', 'Headbutt', 'Heat Wave', 'Hyper Voice', 'Iron Tail', 'Mimic', "Mud'Slap", 'Nightmare', 'Role Play', 'Sleep Talk', 'Snatch', 'Snore', 'Spite', 'Substitute', 'Sucker Punch', 'Super Fang', 'Swagger', 'Swift', 'Uproar', 'Headbutt', 'Curse', 'Roar', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Protect', 'Endure', 'Frustration', 'Solar Beam', 'Iron Tail', 'Return', 'Shadow Ball', "Mud'Slap", 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sludge Bomb', 'Fire Blast', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Swift', 'Dream Eater', 'Detect', 'Rest', 'Attract', 'Thief', 'Nightmare', 'Snatch', 'Round', 'Overheat', 'Incinerate', 'Endure', "Will'O'Wisp", 'Embargo', 'Payback', 'Captivate', 'Dark Pulse', 'Sleep Talk', 'Natural Gift', 'Retaliate', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Snarl', 'Dark Pulse', 'Confide', 'Rock Smash']
Huntail;['Water'];['Swift Swim', 'Water Veil'];PU;55;104;105;94;75;52;[];['Whirlpool', 'Bite', 'Screech', 'Scary Face', 'Feint Attack', 'Water Pulse', 'Scary Face', 'Ice Fang', 'Brine', 'Sucker Punch', 'Dive', 'Baton Pass', 'Dive', 'Crunch', 'Baton Pass', 'Aqua Tail', 'Coil', 'Hydro Pump', 'Clamp', 'Water Gun', 'Iron Defense', 'Shell Smash', 'Aqua Ring', 'Barrier', 'Body Slam', 'Brine', 'Confuse Ray', 'Endure', 'Mud Sport', 'Muddy Water', 'Refresh', 'Supersonic', 'Water Pulse', 'Aqua Tail', 'Bind', 'Body Slam', 'Bounce', 'Dive', "Double'Edge", 'Endure', 'Icy Wind', 'Mimic', "Mud'Slap", 'Sleep Talk', 'Snatch', 'Snore', 'Substitute', 'Sucker Punch', 'Super Fang', 'Swagger', 'Swift', 'Water Pulse', 'Iron Defense', 'Water Pulse', 'Toxic', 'Hail', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Double Team', 'Rock Tomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Snatch', 'Brine', 'Endure', 'Round', 'Scald', 'Giga Impact', 'Infestation', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Whirlpool', 'Waterfall', 'Secret Power', 'Confide', 'Surf', 'Waterfall', 'Dive']
Hydreigon;['Dark', 'Dragon'];['Levitate'];UU;92;105;90;125;90;98;[];['Outrage', 'Hyper Voice', 'Tri Attack', 'Dragon Rage', 'Focus Energy', 'Bite', 'Focus Energy', 'Bite', 'Headbutt', 'Dragon Breath', 'Roar', 'Crunch', 'Slam', 'Dragon Pulse', 'Work Up', 'Dragon Rush', 'Body Slam', 'Scary Face', 'Hyper Voice', 'Outrage', 'Double Hit', 'Tackle', 'Assurance', 'Astonish', 'Belch', 'Dark Pulse', 'Double Hit', 'Earth Power', 'Fire Fang', 'Head Smash', 'Ice Fang', 'Screech', 'Thunder Fang', 'Aqua Tail', 'Dark Pulse', 'Draco Meteor', 'Dragon Pulse', 'Earth Power', 'Heat Wave', 'Hyper Voice', 'Iron Tail', 'Outrage', 'Roost', 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Spite', 'Superpower', 'Tailwind', 'Uproar', 'Zen Headbutt', 'Work Up', 'Roar', 'Toxic', 'Hidden Power', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Protect', 'Rain Dance', 'Roost', 'Frustration', 'Earthquake', 'Return', 'Double Team', 'Reflect', 'Flamethrower', 'Fire Blast', 'Rock Tomb', 'Torment', 'Facade', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Steel Wing', 'Focus Blast', 'Charge Beam', 'Brutal Swing', 'Incinerate', 'Acrobatics', 'Payback', 'Giga Impact', 'Stone Edge', 'Thunder Wave', 'Fly', 'Psych Up', 'Bulldoze', 'Rock Slide', 'Dragon Tail', 'Work Up', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Flash Cannon', 'Surf', 'Secret Power', 'Rock Smash', 'Dark Pulse', 'Confide', 'Fly', 'Surf', 'Strength', 'Rock Smash']
Hypno;['Psychic'];['Forewarn', 'Inner Focus', 'Insomnia'];PU;85;73;70;73;115;67;[];['Future Sight', 'Nasty Plot', 'Nightmare', 'Switcheroo', 'Pound', 'Hypnosis', 'Disable', 'Confusion', 'Disable', 'Confusion', 'Headbutt', 'Poison Gas', 'Meditate', 'Psychic', 'Meditate', 'Psybeam', "Wake'Up Slap", 'Headbutt', 'Psych Up', 'Headbutt', 'Synchronoise', 'Zen Headbutt', 'Swagger', 'Psychic', 'Nasty Plot', 'Zen Headbutt', 'Psyshock', 'Future Sight', 'Assist', 'Barrier', 'Fire Punch', 'Flatter', 'Guard Swap', 'Ice Punch', 'Light Screen', 'Nasty Plot', 'Power Split', 'Psychic Terrain', 'Psycho Cut', 'Role Play', 'Secret Power', 'Skill Swap', 'Thunder Punch', 'Body Slam', 'Counter', "Double'Edge", 'Drain Punch', 'Dream Eater', 'Dynamic Punch', 'Endure', 'Fire Punch', 'Focus Punch', 'Foul Play', 'Headbutt', 'Ice Punch', 'Low Kick', 'Magic Coat', 'Magic Room', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', 'Nightmare', 'Psych Up', 'Recycle', 'Role Play', 'Seismic Toss', 'Signal Beam', 'Skill Swap', 'Sleep Talk', 'Snatch', 'Snore', 'Substitute', 'Swagger', 'Thunder Punch', 'Thunder Wave', 'Trick', 'Zen Headbutt', 'Psyshock', 'Focus Punch', 'Calm Mind', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', "Double'Edge", 'Zap Cannon', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Hyper Beam', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Light Screen', 'Protect', 'Rain Dance', 'Endure', 'Telekinesis', 'Safeguard', 'Frustration', 'Return', 'Psychic', 'Shadow Ball', 'Brick Break', 'Teleport', 'Mimic', 'Double Team', 'Ice Punch', 'Swagger', 'Sleep Talk', 'Thunder Punch', 'Reflect', 'Torment', 'Facade', 'Secret Power', 'Bide', 'Metronome', 'Skull Bash', 'Dream Eater', 'Rest', 'Attract', 'Fire Punch', 'Nightmare', 'Thief', 'Skill Swap', 'Snatch', 'Low Sweep', 'Round', 'Thunder Wave', 'Focus Blast', 'Fling', 'Endure', 'Drain Punch', 'Recycle', 'Giga Impact', 'Flash', 'Thunder Wave', 'Psych Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Psywave', 'Tri Attack', 'Substitute', 'Flash', 'Trick Room', 'Secret Power', "Power'Up Punch", 'Dazzling Gleam', 'Confide']
Igglybuff;['Normal', 'Fairy'];['Competitive', 'Cute Charm', 'Friend Guard'];LC;90;30;15;40;20;15;['Jigglypuff'];['Sing', 'Charm', 'Defense Curl', 'Pound', 'Sweet Kiss', 'Copycat', 'Captivate', 'Covet', 'Fake Tears', 'Feint Attack', 'Gravity', 'Heal Pulse', 'Last Resort', 'Misty Terrain', 'Perish Song', 'Present', 'Punishment', 'Sleep Talk', 'Wish', 'Body Slam', 'Bounce', 'Counter', 'Covet', 'Defense Curl', "Double'Edge", 'Dream Eater', 'Endeavor', 'Endure', 'Flamethrower', 'Gravity', 'Headbutt', 'Heal Bell', 'Helping Hand', 'Hyper Voice', 'Icy Wind', 'Last Resort', 'Magic Coat', 'Mega Kick', 'Mega Punch', 'Mimic', "Mud'Slap", 'Nightmare', 'Pain Split', 'Psych Up', 'Recycle', 'Role Play', 'Rollout', 'Seismic Toss', 'Shock Wave', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Thunder Wave', 'Uproar', 'Water Pulse', 'Water Pulse', 'Headbutt', 'Curse', 'Rollout', 'Work Up', 'Toxic', 'Zap Cannon', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Light Screen', 'Snore', 'Icy Wind', 'Protect', 'Rain Dance', 'Safeguard', 'Endure', 'Frustration', 'Solar Beam', 'Return', 'Dig', 'Psychic', 'Shadow Ball', "Mud'Slap", 'Double Team', 'Swagger', 'Sleep Talk', 'Reflect', 'Shock Wave', 'Flamethrower', 'Fire Blast', 'Facade', 'Secret Power', 'Defense Curl', 'Dream Eater', 'Detect', 'Rest', 'Attract', 'Nightmare', 'Round', 'Echoed Voice', 'Fling', 'Incinerate', 'Endure', 'Recycle', 'Flash', 'Thunder Wave', 'Psych Up', 'Work Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Confide']
Illumise;['Bug'];['Oblivious', 'Prankster', 'Tinted Lens'];PU;65;47;75;73;85;85;[];['Tackle', 'Play Nice', 'Tackle', 'Sweet Scent', 'Charm', 'Moonlight', 'Quick Attack', 'Struggle Bug', 'Moonlight', 'Wish', 'Encore', 'Flatter', 'Zen Headbutt', 'Helping Hand', 'Zen Headbutt', 'Bug Buzz', 'Play Rough', 'Covet', 'Infestation', 'Aromatherapy', 'Baton Pass', 'Bug Buzz', 'Captivate', 'Confuse Ray', 'Encore', 'Fake Tears', 'Growth', 'Silver Wind', 'Air Cutter', 'Body Slam', 'Bug Bite', 'Counter', 'Covet', "Double'Edge", 'Dynamic Punch', 'Endure', 'Focus Punch', 'Giga Drain', 'Helping Hand', 'Ice Punch', 'Mega Kick', 'Mega Punch', 'Metronome', 'Mimic', "Mud'Slap", 'Ominous Wind', 'Psych Up', 'Roost', 'Seismic Toss', 'Shock Wave', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swift', 'Tailwind', 'Thunder Punch', 'Thunder Wave', 'Water Pulse', 'Zen Headbutt', 'Focus Punch', 'Water Pulse', 'Toxic', 'Hidden Power', 'Sunny Day', 'Light Screen', 'Protect', 'Rain Dance', 'Roost', 'Giga Drain', 'Frustration', 'Solar Beam', 'Thunderbolt', 'Thunder', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Shock Wave', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Roost', 'Round', 'Fling', 'Charge Beam', 'Acrobatics', 'Endure', 'Silver Wind', 'Flash', 'Thunder Wave', 'Struggle Bug', 'Psych Up', 'Infestation', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Secret Power', "Power'Up Punch", 'Dazzling Gleam', 'Confide']
Incineroar;['Fire', 'Dark'];['Blaze', 'Intimidate'];NU;95;115;90;80;90;60;[];['Darkest Lariat', 'Darkest Lariat', 'Bulk Up', 'Throat Chop', 'Scratch', 'Ember', 'Growl', 'Lick', 'Growl', 'Lick', 'Leer', 'Fire Fang', 'Double Kick', 'Roar', 'Bite', 'Swagger', 'Fury Swipes', 'Thrash', 'Flamethrower', 'Scary Face', 'Flare Blitz', 'Outrage', 'Cross Chop', 'Body Slam', 'Crunch', 'Fake Out', 'Heat Wave', 'Nasty Plot', 'Power Trip', 'Revenge', 'Blast Burn', 'Fire Pledge', 'Work Up', 'Roar', 'Toxic', 'Bulk Up', 'Hidden Power', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Protect', 'Frustration', 'Earthquake', 'Return', 'Leech Life', 'Brick Break', 'Double Team', 'Flamethrower', 'Fire Blast', 'Torment', 'Facade', 'Flame Charge', 'Rest', 'Attract', 'Low Sweep', 'Round', 'Overheat', 'Focus Blast', 'Fling', 'Brutal Swing', 'Quash', "Will'O'Wisp", 'Acrobatics', 'Embargo', 'Shadow Claw', 'Giga Impact', 'Swords Dance', 'Bulldoze', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Snarl', 'Dark Pulse', 'Confide']
Infernape;['Fighting', 'Fire'];['Blaze', 'Iron Fist'];UU;76;104;71;104;71;108;[];['Flare Blitz', 'Scratch', 'Leer', 'Close Combat', 'Close Combat', 'Mach Punch', 'Flare Blitz', 'Scratch', 'Leer', 'Ember', 'Taunt', 'Ember', 'Ember', 'Taunt', 'Mach Punch', 'Fury Swipes', 'Flame Wheel', 'Feint', 'Punishment', 'Close Combat', 'Fire Spin', 'Calm Mind', 'Acrobatics', 'Calm Mind', 'Flare Blitz', 'Torment', 'Slack Off', 'Nasty Plot', 'Facade', 'Flamethrower', 'Assist', 'Blaze Kick', 'Counter', 'Double Kick', 'Encore', 'Fake Out', 'Fire Punch', 'Focus Energy', 'Focus Punch', 'Heat Wave', 'Helping Hand', "Power'Up Punch", 'Quick Guard', 'Submission', 'Thunder Punch', 'Blast Burn', 'Covet', 'Dual Chop', 'Endeavor', 'Fire Pledge', 'Fire Punch', 'Focus Punch', 'Gunk Shot', 'Headbutt', 'Heat Wave', 'Helping Hand', 'Iron Tail', 'Low Kick', "Mud'Slap", 'Role Play', 'Rollout', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Swift', 'Thunder Punch', 'Vacuum Wave', 'Uproar', 'Work Up', 'Hone Claws', 'Focus Punch', 'Calm Mind', 'Roar', 'Toxic', 'Bulk Up', 'Hidden Power', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Protect', 'Frustration', 'Solar Beam', 'Iron Tail', 'Earthquake', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Flamethrower', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Rest', 'Attract', 'Low Sweep', 'Round', 'Overheat', 'Focus Blast', 'Fling', 'Incinerate', 'Endure', "Will'O'Wisp", 'Acrobatics', 'Shadow Claw', 'Retaliate', 'Giga Impact', 'Stone Edge', 'Swords Dance', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Work Up', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Grass Knot', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Secret Power', 'Rock Smash', "Power'Up Punch", 'Confide', 'Cut', 'Strength', 'Rock Smash', 'Rock Climb']
Inkay;['Dark', 'Psychic'];['Contrary', 'Infiltrator', 'Suction Cups'];LC;53;54;53;37;46;45;['Malamar'];['Tackle', 'Peck', 'Constrict', 'Reflect', 'Foul Play', 'Swagger', 'Psywave', "Topsy'Turvy", 'Hypnosis', 'Psybeam', 'Switcheroo', 'Payback', 'Light Screen', 'Pluck', 'Psycho Cut', 'Slash', 'Night Slash', 'Superpower', 'Camouflage', 'Destiny Bond', 'Flatter', 'Guard Swap', 'Power Split', 'Simple Beam', 'Bind', 'Foul Play', 'Knock Off', 'Role Play', 'Snatch', 'Snore', 'Spite', 'Superpower', 'Calm Mind', 'Toxic', 'Hidden Power', 'Sunny Day', 'Taunt', 'Light Screen', 'Protect', 'Rain Dance', 'Frustration', 'Thunderbolt', 'Return', 'Psychic', 'Double Team', 'Reflect', 'Flamethrower', 'Aerial Ace', 'Torment', 'Facade', 'Rest', 'Attract', 'Thief', 'Round', 'Fling', 'Embargo', 'Payback', 'Retaliate', 'Flash', 'Psych Up', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Trick Room', 'Secret Power', 'Dark Pulse', 'Confide', 'Cut']
Ivysaur;['Grass', 'Poison'];['Chlorophyll', 'Overgrow'];;60;62;63;80;80;60;['Venusaur'];['Tackle', 'Growl', 'Leech Seed', 'Growl', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Razor Leaf', 'Sweet Scent', 'Growth', 'Sleep Powder', "Double'Edge", 'Worry Seed', 'Synthesis', 'Solar Beam', 'Seed Bomb', 'Amnesia', 'Charm', 'Curse', 'Endure', 'Giga Drain', 'Grass Whistle', 'Grassy Terrain', 'Ingrain', 'Leaf Storm', 'Light Screen', 'Magical Leaf', 'Nature Power', 'Petal Dance', 'Power Whip', 'Razor Wind', 'Safeguard', 'Skull Bash', 'Sludge', 'Bind', 'Body Slam', 'Defense Curl', "Double'Edge", 'Endure', 'Fury Cutter', 'Giga Drain', 'Grass Pledge', 'Headbutt', 'Knock Off', 'Mimic', "Mud'Slap", 'Seed Bomb', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swords Dance', 'Synthesis', 'Worry Seed', 'Swords Dance', 'Headbutt', 'Curse', 'Work Up', 'Toxic', 'Venoshock', 'Bullet Seed', 'Body Slam', 'Hidden Power', 'Sunny Day', 'Light Screen', 'Sweet Scent', 'Snore', 'Protect', 'Safeguard', 'Giga Drain', 'Endure', 'Frustration', 'Take Down', "Double'Edge", 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Return', "Mud'Slap", 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Rest', 'Attract', 'Fury Cutter', 'Round', 'Echoed Voice', 'Energy Ball', 'Endure', 'Flash', 'Swords Dance', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Nature Power', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash']
Jangmo-o;['Dragon'];['Bulletproof', 'Overcoat', 'Soundproof'];LC;45;55;65;45;45;45;['Hakamo-o'];['Tackle', 'Leer', 'Bide', 'Protect', 'Dragon Tail', 'Scary Face', 'Headbutt', 'Work Up', 'Screech', 'Iron Defense', 'Dragon Claw', 'Noble Roar', 'Dragon Dance', 'Outrage', 'Counter', 'Dragon Breath', 'Reversal', 'Draco Meteor', 'Work Up', 'Dragon Claw', 'Roar', 'Toxic', 'Bulk Up', 'Hidden Power', 'Taunt', 'Protect', 'Safeguard', 'Frustration', 'Earthquake', 'Return', 'Brick Break', 'Double Team', 'Sandstorm', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Focus Blast', 'False Swipe', 'Shadow Claw', 'Payback', 'Swords Dance', 'Bulldoze', 'Rock Slide', "X'Scissor", 'Dragon Tail', 'Swagger', 'Sleep Talk', 'Substitute', 'Confide']
Jellicent;['Ghost', 'Water'];['Cursed Body', 'Damp', 'Water Absorb'];NU;100;60;70;85;105;60;[];['Water Spout', 'Wring Out', 'Bubble', 'Water Sport', 'Absorb', 'Night Shade', 'Absorb', 'Night Shade', 'Bubble Beam', 'Recover', 'Water Pulse', 'Ominous Wind', 'Brine', 'Rain Dance', 'Hex', 'Hydro Pump', 'Wring Out', 'Water Spout', 'Acid Armor', 'Confuse Ray', 'Constrict', 'Mist', 'Pain Split', 'Recover', 'Bind', 'Dark Pulse', 'Giga Drain', 'Icy Wind', 'Magic Coat', 'Pain Split', 'Shock Wave', 'Sleep Talk', 'Snore', 'Spite', 'Trick', 'Water Pulse', 'Toxic', 'Hail', 'Hidden Power', 'Taunt', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Safeguard', 'Frustration', 'Return', 'Psychic', 'Shadow Ball', 'Double Team', 'Sludge Wave', 'Sludge Bomb', 'Facade', 'Rest', 'Attract', 'Round', 'Energy Ball', 'Scald', "Will'O'Wisp", 'Giga Impact', 'Flash', 'Psych Up', 'Dream Eater', 'Swagger', 'Sleep Talk', 'Substitute', 'Trick Room', 'Surf', 'Secret Power', 'Dark Pulse', 'Waterfall', 'Dazzling Gleam', 'Confide', 'Surf', 'Waterfall', 'Dive']
